"species","sequence_id","counts"
"Stenopleustes malmgreni","RMNH.CRUS.A.4483",25
"Stenopleustes malmgreni","RMNH.CRUS.A.4484",2
"Hippomedon denticulatus","RMNH.CRUS.A.4494",2
"Hippomedon denticulatus","RMNH.CRUS.A.4496",4
"Metopa bruzelli","RMNH.CRUS.A.4502",4
"Metopa bruzelli","RMNH.CRUS.A.4504",1
"Apherusa jurinei","RMNH.CRUS.A.4505",0
"Stenothoe monoculoides","RMNH.CRUS.A.4512",3
"Dexamine thea","RMNH.CRUS.A.4517",1
"Gammarus oceanicus","RMNH.CRUS.A.4530",0
"Parapleustes pulchellus","RMNH.CRUS.A.4531",0
"Parapleustes pulchellus","RMNH.CRUS.A.4532",2
"Parapleustes pulchellus","RMNH.CRUS.A.4533",1
"Parapleustes pulchellus","RMNH.CRUS.A.4534",3
"Dexamine spinosa","RMNH.CRUS.A.4537",11
"Orchestia mediterranea","RMNH.CRUS.A.454",1
"Calliopius laeviusculus","RMNH.CRUS.A.4542",0
"Gammarus duebeni","RMNH.CRUS.A.4556",3
"Gammarus duebeni","RMNH.CRUS.A.4558",15
"Metopa norvegica","RMNH.CRUS.A.4580",0
"Ampelisca Aequicornis","RMNH.CRUS.A.4597",0
"Ampelisca Aequicornis","RMNH.CRUS.A.4598",0
"Isocyamus delphinii","RMNH.CRUS.A.4604",10
"Isocyamus delphinii","RMNH.CRUS.A.4606",2
"Hyperia galba","RMNH.CRUS.A.4647",50
"Hyale nilssoni","RMNH.CRUS.A.4666",1
"Hyale nilssonii","RMNH.CRUS.A.4669",0
"Parapleustes pugettensis","RMNH.CRUS.A.470",3
"Orchestia mediterranea","RMNH.CRUS.A.4734",0
"Talitrus saltator","RMNH.CRUS.A.4746",0
"Orchestia gammarellus","RMNH.CRUS.A.4766",0
"Orchestia gammarellus","RMNH.CRUS.A.4767",0
"Orchestia gammarellus","RMNH.CRUS.A.4777",2
"Orchestia gammarellus","RMNH.CRUS.A.4816",0
"Orchestia gammarellus","RMNH.CRUS.A.4832",0
"Orchestia gammarellus","RMNH.CRUS.A.4840",0
"Platycyamus thompsoni","RMNH.CRUS.A.4864",12
"Calliopius laeviusculus","RMNH.CRUS.A.4869",2
"Gammarus pulex","RMNH.CRUS.A.4871",8
"Allomelita pellucida","RMNH.CRUS.A.4881",10
"Allomelita pellucida","RMNH.CRUS.A.4882",7
"Scutocyamus parvus","RMNH.CRUS.A.4884",1
"Scutocyamus parvus","RMNH.CRUS.A.4885",10
"Isocyamus delphinii","RMNH.CRUS.A.4888",11
"Scutocyamus parvus","RMNH.CRUS.A.4898",10
"Cyamus balaenopterae","RMNH.CRUS.A.490",0
"Isocyamus delphinii","RMNH.CRUS.A.4909",0
"Isocyamus delphinii","RMNH.CRUS.A.4909.a",0
"Cyamus balaenopterae","RMNH.CRUS.A.491",0
"Isocyamus delphinii","RMNH.CRUS.A.4918",200
"Isocyamus delphinii","RMNH.CRUS.A.4919",300
"Bathyporeia elegans","RMNH.CRUS.A.4921",7
"Bathyporeia elegans","RMNH.CRUS.A.4926",6
"Bathyporeia pelagica","RMNH.CRUS.A.4937",11
"Bathyporeia pelagica","RMNH.CRUS.A.4941",5
"Bathyporeia pilosa","RMNH.CRUS.A.4951",4
"Bathyporeia sarsi","RMNH.CRUS.A.4972",10
"Bathyporeia sarsi","RMNH.CRUS.A.4980",0
"Cyamus boopis","RMNH.CRUS.A.4999",15
"Gammarus roeselii","RMNH.CRUS.A.5002",1
"Isocyamus delphinii","RMNH.CRUS.A.5013",2
"Isocyamus delphinii","RMNH.CRUS.A.5016",4
"Scutocyamus parvus","RMNH.CRUS.A.5017",8
"Ampelisca brevicornis","RMNH.CRUS.A.5037",0
"Ptilohyale littoralis","RMNH.CRUS.A.5046",10
"Lysianassa ceratina","RMNH.CRUS.A.5052",1
"Lysianassa ceratina","RMNH.CRUS.A.5053",1
"Caprella septentrionalis","RMNH.CRUS.A.5068",0
"Cryptorchestia ruffoi","RMNH.CRUS.A.5070",1
"Aoroides semicurvatus","RMNH.CRUS.A.5080",1
"Aoroides semicurvatus","RMNH.CRUS.A.5081",30
"Scutocyamus parvus","RMNH.CRUS.A.5123",0
"Gammarus locusta","RMNH.CRUS.A.524",0
"Jassa falcata","RMNH.CRUS.A.538",0
"Corophium acherusicum","RMNH.CRUS.A.544",0
"Gammarus duebeni","RMNH.CRUS.A.561",15
"Cyamus catodontis","RMNH.CRUS.A.569",0
"Cyamus catodontis","RMNH.CRUS.A.570",0
"Cyamus catodontis","RMNH.CRUS.A.572",0
"Ampithoe valida","RMNH.CRUS.A.589",2
"Ampithoe valida","RMNH.CRUS.A.592",2
"Pontocrates altamarinus","RMNH.CRUS.A.628",0
"Scopelocheirus hopei","RMNH.CRUS.A.645",1
"Perioculodes longimanus","RMNH.CRUS.A.654",0
"Acidostoma neglectum","RMNH.CRUS.A.657",1
"Metopa alderi","RMNH.CRUS.A.658",1
"Pariambus typicus","RMNH.CRUS.A.661",0
"Microprotopus maculatus","RMNH.CRUS.A.671",0
"Caprella acutifrons","RMNH.CRUS.A.676",0
"Pontocrates altamarinus","RMNH.CRUS.A.677",0
"Hippomedon denticulatus","RMNH.CRUS.A.680",0
"Hippomedon denticulatus","RMNH.CRUS.A.681",4
"Atylus falcatus","RMNH.CRUS.A.712",0
"Gammarellus homari","RMNH.CRUS.A.715",1
"Gammarellus homari","RMNH.CRUS.A.716",1
"Gammarellus aequicauda","RMNH.CRUS.A.718",0
"Atylus falcatus","RMNH.CRUS.A.723",1
"Microdeutopus gryllotalpa","RMNH.CRUS.A.729",0
"Microprotopus maculatus","RMNH.CRUS.A.73",20
"Gammarus pulex","RMNH.CRUS.A.772",0
"Iphimedia obesa","RMNH.CRUS.A.796",0
"Iphimedia obesa","RMNH.CRUS.A.797",0
"Iphimedia obesa","RMNH.CRUS.A.799",0
"Iphimedia obesa","RMNH.CRUS.A.800",0
"Iphimedia obesa","RMNH.CRUS.A.801",0
"Iphimedia obesa","RMNH.CRUS.A.802",0
"Corophium acherusicum","RMNH.CRUS.A.81",35
"Echinogammarus berilloni","RMNH.CRUS.A.811",0
"Echinogammarus berilloni","RMNH.CRUS.A.813",0
"Calliopius laeviusculus","RMNH.CRUS.A.820",0
"Calliopius laeviusculus","RMNH.CRUS.A.821",0
"Atylus swammerdami","RMNH.CRUS.A.834",0
"Bathyporeia pelagica","RMNH.CRUS.A.839",0
"Hyale prevosti","RMNH.CRUS.A.855",0
"Hyale prevosti","RMNH.CRUS.A.858",0
"Orchomenella nana","RMNH.CRUS.A.861",0
"Orchomenella nana","RMNH.CRUS.A.862",0
"Orchomenella nana","RMNH.CRUS.A.863",0
"Orchomenella nana","RMNH.CRUS.A.864",0
"Orchomenella nana","RMNH.CRUS.A.865",0
"Tmetonyx cicada","RMNH.CRUS.A.87",2
"Hyperia galba","RMNH.CRUS.A.887",0
"Gammarus duebeni","RMNH.CRUS.A.889",60
"Gammarus duebeni","RMNH.CRUS.A.894",10
"Haploops tubicola","RMNH.CRUS.A.9",3
"Metopa alderi","RMNH.CRUS.A.919",1
"Talitrus saltator","RMNH.CRUS.A.922",10
"Metopa alderi","RMNH.CRUS.A.925",1
"Aora typica","RMNH.CRUS.A.939",1
"Microprotopus maculatus","RMNH.CRUS.A.957",0
"Talitrus saltator","RMNH.CRUS.A.964",0
"Talitrus saltator","RMNH.CRUS.A.967",0
"Apherusa clevei","RMNH.CRUS.A.977",1
"Atylus swammerdami","RMNH.CRUS.A.986",0
"Hyperia galba","RMNH.CRUS.A.987",0
"Cypria cf ophthalmica","RMNH.CRUS.B.2149",0
"Eusarsiella zostericola","RMNH.CRUS.B.2252",1
"Cyprideis edentata","RMNH.CRUS.B.27",0
"Dosima fascicularis","RMNH.CRUS.C.10",4
"Lepas fascicularis","RMNH.CRUS.C.10",4
"Balanus crenatus","RMNH.CRUS.C.10038",8
"Balanus balanoides","RMNH.CRUS.C.10060",0
"Balanus crenatus","RMNH.CRUS.C.10079",0
"Balanus crenatus","RMNH.CRUS.C.10081",0
"Trypetesa lampas","RMNH.CRUS.C.1014",0
"Trypetesa lampas","RMNH.CRUS.C.1015",0
"Coronula complanata","RMNH.CRUS.C.10151",0
"Coronula diadema","RMNH.CRUS.C.10153",0
"Lepas anserifera","RMNH.CRUS.C.10170",0
"Lepas anserifera","RMNH.CRUS.C.10175",0
"Lepas fascicularis","RMNH.CRUS.C.10177",0
"Lepas hillii","RMNH.CRUS.C.10178",0
"Verruca stroemia","RMNH.CRUS.C.10256",6
"Lepas pectinata","RMNH.CRUS.C.1026",1
"Lepas anatifera","RMNH.CRUS.C.1042",50
"Lepas anatifera","RMNH.CRUS.C.1069",15
"Austrominius modestus","RMNH.CRUS.C.1114",0
"Elminius modestus","RMNH.CRUS.C.1114",0
"Austrominius modestus","RMNH.CRUS.C.1117",0
"Elminius modestus","RMNH.CRUS.C.1117",0
"Austrominius modestus","RMNH.CRUS.C.1120",0
"Elminius modestus","RMNH.CRUS.C.1120",0
"Austrominius modestus","RMNH.CRUS.C.1127",0
"Elminius modestus","RMNH.CRUS.C.1127",0
"Amphibalanus amphitrite","RMNH.CRUS.C.1130",10
"Balanus amphitrite","RMNH.CRUS.C.1130",10
"Semibalanus balanoides","RMNH.CRUS.C.119",400
"Megabalanus occator","RMNH.CRUS.C.1206",0
"Verruca stroemia","RMNH.CRUS.C.121",6
"Amphibalanus improvisus","RMNH.CRUS.C.1228",0
"Balanus improvisus","RMNH.CRUS.C.1228",0
"Semibalanus balanoides","RMNH.CRUS.C.1243",0
"Semibalanus balanoides","RMNH.CRUS.C.1244",0
"Amphibalanus amphitrite","RMNH.CRUS.C.1252",25
"Balanus amphitrite","RMNH.CRUS.C.1252",25
"Austrominius modestus","RMNH.CRUS.C.1285",250
"Elminius modestus","RMNH.CRUS.C.1285",250
"Conchoderma virgatum","RMNH.CRUS.C.1294",1
"Trypetesa lampas","RMNH.CRUS.C.1296",1
"Stomatolepas dermochelys","RMNH.CRUS.C.1314",50
"Stomatolepas elegans","RMNH.CRUS.C.1315",2
"Stomatolepas dermochelys","RMNH.CRUS.C.1316",6
"Stomatolepas dermochelys","RMNH.CRUS.C.1317",3
"Stomatolepas dermochelys","RMNH.CRUS.C.1318",20
"Semibalanus balanoides","RMNH.CRUS.C.1376",50
"Austrominius modestus","RMNH.CRUS.C.1377",200
"Elminius modestus","RMNH.CRUS.C.1377",200
"Amphibalanus eburneus","RMNH.CRUS.C.1415",50
"Balanus eburneus","RMNH.CRUS.C.1415",50
"Amphibalanus eburneus","RMNH.CRUS.C.1434",50
"Balanus eburneus","RMNH.CRUS.C.1434",50
"Megabalanus tintinnabulum","RMNH.CRUS.C.1444",4
"Amphibalanus amphitrite","RMNH.CRUS.C.1482",1000
"Balanus amphitrite","RMNH.CRUS.C.1482",1000
"Conchoderma auritum","RMNH.CRUS.C.17",4
"Chirona hameri","RMNH.CRUS.C.1764",0
"Semibalanus balanoides","RMNH.CRUS.C.1800",25
"Austrominius modestus","RMNH.CRUS.C.182",0
"Elminius modestus","RMNH.CRUS.C.182",0
"Stomatolepas dermochelys","RMNH.CRUS.C.1822",30
"Austrominius modestus","RMNH.CRUS.C.183",0
"Elminius modestus","RMNH.CRUS.C.183",0
"Parthenopea subterranea","RMNH.CRUS.C.1951",0
"Conchoderma virgata","RMNH.CRUS.C.20",7
"Coronula reginae","RMNH.CRUS.C.201",14
"Coronula reginae","RMNH.CRUS.C.203",1
"Coronula reginae","RMNH.CRUS.C.205",1
"Austrominius modestus","RMNH.CRUS.C.2051",5
"Elminius modestus","RMNH.CRUS.C.2051",5
"Austrominius modestus","RMNH.CRUS.C.2052",1
"Elminius modestus","RMNH.CRUS.C.2052",1
"Coronula reginae","RMNH.CRUS.C.206",1
"Conchoderma auritum","RMNH.CRUS.C.2074",1
"Stomatolepas praegustator","RMNH.CRUS.C.2076",6
"Amphibalanus eburneus","RMNH.CRUS.C.2103",60
"Balanus eburneus","RMNH.CRUS.C.2103",60
"Amphibalanus amphitrite","RMNH.CRUS.C.2112",25
"Balanus amphitrite","RMNH.CRUS.C.2112",25
"Megabalanus tintinnabulum","RMNH.CRUS.C.2159",1
"Chirona hameri","RMNH.CRUS.C.2161",1
"Chirona evermanni","RMNH.CRUS.C.2170",0
"Stomatolepas dermochelys","RMNH.CRUS.C.2268",0
"Verruca stroemia","RMNH.CRUS.C.2270",2
"Semibalanus balanoides","RMNH.CRUS.C.2319",0
"Semibalanus balanoides","RMNH.CRUS.C.2356",0
"Dosima fascicularis","RMNH.CRUS.C.2360",6
"Dosima fascicularis","RMNH.CRUS.C.2383",1
"Dosima fascicularis","RMNH.CRUS.C.2384",1
"Dosima fascicularis","RMNH.CRUS.C.250",0
"Dosima fascicularis","RMNH.CRUS.C.251",0
"Coronula diadema","RMNH.CRUS.C.2561",0
"Parthenopea subterranea","RMNH.CRUS.C.2594",1
"Stomatolepas elegans","RMNH.CRUS.C.2596",0
"Conchoderma auritum","RMNH.CRUS.C.2599",4
"Coronula diadema","RMNH.CRUS.C.2741",3
"Chirona hameri","RMNH.CRUS.C.40",10
"Cetopirus complanatus","RMNH.CRUS.C.51",2
"Dosima fascicularis","RMNH.CRUS.C.535",0
"Chirona hameri","RMNH.CRUS.C.578",6
"Conchoderma virgatum","RMNH.CRUS.C.609",3
"Amphibalanus improvisus","RMNH.CRUS.C.684",7
"Balanus improvisus","RMNH.CRUS.C.684",7
"Semibalanus balanoides","RMNH.CRUS.C.692",25
"Semibalanus balanoides","RMNH.CRUS.C.693",2
"Chirona hameri","RMNH.CRUS.C.694",10
"Coronula diadema","RMNH.CRUS.C.71",4
"Megabalanus tintinnabulum","RMNH.CRUS.C.76",25
"Dosima fascicularis","RMNH.CRUS.C.771",0
"Dosima fascicularis","RMNH.CRUS.C.772",0
"Dosima fascicularis","RMNH.CRUS.C.773",0
"Chirona hameri","RMNH.CRUS.C.78",20
"Conchoderma virgatum","RMNH.CRUS.C.79",3
"Semibalanus balanoides","RMNH.CRUS.C.86",250
"Pirimela denticulata","RMNH.CRUS.D.10089",2
"Planes minutus","RMNH.CRUS.D.102",0
"Homarus gammarus","RMNH.CRUS.D.10305",0
"Astacus astacus","RMNH.CRUS.D.10317",1
"Rhithropanopeus harrisi","RMNH.CRUS.D.10408",20
"Rhithropanopeus harrisii","RMNH.CRUS.D.10408",20
"Planes minutus","RMNH.CRUS.D.105",0
"Astacus astacus","RMNH.CRUS.D.10663",6
"Dromia personata","RMNH.CRUS.D.10671",1
"Planes cyaneus","RMNH.CRUS.D.107",0
"Diogenes ovatus","RMNH.CRUS.D.10874",2
"Diogenes pugilator","RMNH.CRUS.D.10884",20
"Achaeus cranchi","RMNH.CRUS.D.11072",0
"Pilumnus spinifer","RMNH.CRUS.D.11122",6
"Eriocheir japonicus","RMNH.CRUS.D.113",1
"Planes minutus","RMNH.CRUS.D.11380",0
"Palinurus argus","RMNH.CRUS.D.1150",1
"Pirimela denticulata","RMNH.CRUS.D.11738",0
"Maja verrucosa","RMNH.CRUS.D.11838",1
"Dromia erythropus","RMNH.CRUS.D.12146",4
"Astacus leptodactylus","RMNH.CRUS.D.12363",1
"Pirimela denticulata","RMNH.CRUS.D.12557",0
"Pirimela denticulata","RMNH.CRUS.D.12558",0
"Achaeus cranchii","RMNH.CRUS.D.12593",0
"Achaeus cranchii","RMNH.CRUS.D.12594",0
"Cancer gibbosulus","RMNH.CRUS.D.1295",1
"Trichocera gibbosula","RMNH.CRUS.D.1295",1
"Atyaephyra desmarestii","RMNH.CRUS.D.13022",0
"Goneplax rhomboides","RMNH.CRUS.D.134503",0
"Goneplax rhomboides","RMNH.CRUS.D.13498",0
"Callianassa minor","RMNH.CRUS.D.13819",0
"Palinurus elephas","RMNH.CRUS.D.14503",1
"Eurynome aspera","RMNH.CRUS.D.14781",0
"Pilumnus villosus","RMNH.CRUS.D.14901",1
"Pilumnus villosus","RMNH.CRUS.D.14903",1
"Homarus gammarus","RMNH.CRUS.D.1496",1
"Portumnus latipes","RMNH.CRUS.D.15096",1
"Pacifastacus leniusculus","RMNH.CRUS.D.15423",4
"Pacifastacus leniusculus","RMNH.CRUS.D.15424",2
"Pacifastacus gambelii","RMNH.CRUS.D.15427",1
"Pacifastacus leniusculus","RMNH.CRUS.D.15435",1
"Pacifastacus leniusculus","RMNH.CRUS.D.15436",7
"Pacifastacus leniusculus","RMNH.CRUS.D.15439",3
"Pacifastacus leniusculus","RMNH.CRUS.D.15441",4
"Thia residua","RMNH.CRUS.D.15521",2
"Hemigrapsus oregonensis","RMNH.CRUS.D.15643",0
"Eriocheir sinensis","RMNH.CRUS.D.1572",7
"Eualus suckleyi","RMNH.CRUS.D.15736",15
"Ebalia tuberosa","RMNH.CRUS.D.15766",1
"Galathea bolivari","RMNH.CRUS.D.16004",1
"Pagurus granosimanus","RMNH.CRUS.D.16031",0
"Pagurus anachoretus","RMNH.CRUS.D.16056",0
"Diogenes pugilator","RMNH.CRUS.D.16149",0
"Spirontocaris spinus","RMNH.CRUS.D.16252",0
"Inachus dorsettensis","RMNH.CRUS.D.16304",0
"Goneplax rhomboides","RMNH.CRUS.D.16320",4
"Galathea bolivari","RMNH.CRUS.D.16323",0
"Ebalia deshayesi","RMNH.CRUS.D.16342",0
"Eualus avinus","RMNH.CRUS.D.16367",1
"Hippolyte inermis","RMNH.CRUS.D.16406",7
"Hippolyte pleuracantha","RMNH.CRUS.D.16414",10
"Achaeus gordonae","RMNH.CRUS.D.16519",0
"Crangon dalli","RMNH.CRUS.D.16603",0
"Cancer oregonensis","RMNH.CRUS.D.16618",1
"Carcinus mediterraneus","RMNH.CRUS.D.16664",0
"Planes minutus","RMNH.CRUS.D.16950",2
"Procambarus alleni","RMNH.CRUS.D.17006",2
"Carcinus maenas","RMNH.CRUS.D.17046",10
"Processa neglecta","RMNH.CRUS.D.17056",1
"Galathea dispersa","RMNH.CRUS.D.17243",1
"Pandalus eous","RMNH.CRUS.D.17364",3
"Pandalus hypsinotus","RMNH.CRUS.D.17367",1
"Meganyctiphanes norvegica","RMNH.CRUS.D.17401",0
"Meganyctiphanes norvegica","RMNH.CRUS.D.17427",25
"Meganyctiphanes norvegica","RMNH.CRUS.D.17440",1
"Nyctiphanes couchii","RMNH.CRUS.D.17442",0
"Maja squinado","RMNH.CRUS.D.17619",2
"Planes minutus","RMNH.CRUS.D.17757",4
"Atelecyclus undecimdentatus","RMNH.CRUS.D.17925",3
"Carcinus maenas","RMNH.CRUS.D.17984",0
"Spirontocaris lamellicornis","RMNH.CRUS.D.18037",1
"Spirontocaris prionota","RMNH.CRUS.D.18045",4
"Eualus suckleyi","RMNH.CRUS.D.18050",4
"Spirontocaris arcuata","RMNH.CRUS.D.18058",1
"Spirontocaris arcuata","RMNH.CRUS.D.18064",1
"Eualus occultus","RMNH.CRUS.D.18067",1
"Eualus herdmani","RMNH.CRUS.D.18078",1
"Eualus pusiolus","RMNH.CRUS.D.18103",2
"Pandalus montagui","RMNH.CRUS.D.18124",0
"Pandalus goniurus","RMNH.CRUS.D.18156",0
"Pandalus goniurus","RMNH.CRUS.D.18158",0
"Pandalus eous","RMNH.CRUS.D.18164",0
"Palinurus vulgaris","RMNH.CRUS.D.1818",1
"Pandalus eous","RMNH.CRUS.D.18182",0
"Pandalus eous","RMNH.CRUS.D.18183",0
"Pandalus hypsinotus","RMNH.CRUS.D.18189",2
"Pandalus jordani","RMNH.CRUS.D.18201",0
"Processa modica","RMNH.CRUS.D.18209",3
"Atyaephyra desmarestii","RMNH.CRUS.D.18488",0
"Pacifastacus gambelii","RMNH.CRUS.D.18706",2
"Procambarus alleni","RMNH.CRUS.D.18724",10
"Maja squinado","RMNH.CRUS.D.19056",1
"Pandalina brevirostris","RMNH.CRUS.D.1908",5
"Anapagurus chiroacanthus","RMNH.CRUS.D.19131",0
"Nephrops norvegicus","RMNH.CRUS.D.1919",1
"Goneplax rhomboides","RMNH.CRUS.D.19214",1
"Anapagurus chiroacanthus","RMNH.CRUS.D.19425",0
"Hemigrapsus nudus","RMNH.CRUS.D.19724",2
"Eurynome aspera","RMNH.CRUS.D.20090",0
"Eurynome aspera","RMNH.CRUS.D.20092",0
"Pandalina brevirostris","RMNH.CRUS.D.20173",3
"Hemigrapsus penicillatus","RMNH.CRUS.D.203",4
"Anapagurus hyndmanni","RMNH.CRUS.D.20396",1
"Pirimela denticulata","RMNH.CRUS.D.21014",1
"Pirimela denticulata","RMNH.CRUS.D.21035",1
"Callinectes gladiator","RMNH.CRUS.D.21149",0
"Homarus gammarus","RMNH.CRUS.D.21231",0
"Nephrops norvegicus","RMNH.CRUS.D.21253",1
"Hyas araneus","RMNH.CRUS.D.21344",2
"Goneplax sinuatifrons","RMNH.CRUS.D.2158",1
"Hadroplax sinuatifrons","RMNH.CRUS.D.2158",1
"Athanas nitescens","RMNH.CRUS.D.21585",1
"Upogebia nitida","RMNH.CRUS.D.21725",1
"Portumnus latipes","RMNH.CRUS.D.21861",0
"Meganyctiphanes norvegica","RMNH.CRUS.D.21916",0
"Nyctiphanes couchi","RMNH.CRUS.D.21918",0
"Nyctiphanes couchi","RMNH.CRUS.D.21919",0
"Nyctiphanes couchi","RMNH.CRUS.D.21920",0
"Nyctiphanes couchi","RMNH.CRUS.D.21922",0
"Hyas araneus","RMNH.CRUS.D.22016",3
"Pilumnus sayi","RMNH.CRUS.D.2244",1
"Nephrops binghami","RMNH.CRUS.D.22526",4
"Homarus gammarus","RMNH.CRUS.D.22624",1
"Lithodes maja","RMNH.CRUS.D.23247",0
"Eurynome aspera","RMNH.CRUS.D.2363",1
"Spirontocaris lamellicornis","RMNH.CRUS.D.24006",3
"Anapagurus curvidactylus","RMNH.CRUS.D.24262",0
"Eurynome aspera","RMNH.CRUS.D.24572",3
"Thia scutellata","RMNH.CRUS.D.24651",0
"Thia scutellata","RMNH.CRUS.D.24655",1
"Thia scutellata","RMNH.CRUS.D.24660",2
"Maja squinado","RMNH.CRUS.D.24743",1
"Eriocheir sinensis","RMNH.CRUS.D.2500",1
"Lithodes maja","RMNH.CRUS.D.2515",2
"Inachus dorsettensis","RMNH.CRUS.D.2545",2
"Nephrops rubellus","RMNH.CRUS.D.25571",1
"Homarus americanus","RMNH.CRUS.D.2577",1
"Planes cyaneus","RMNH.CRUS.D.25899",9
"Cherax preissii","RMNH.CRUS.D.25947",2
"Goneplax rhomboides","RMNH.CRUS.D.26323",1
"Eurynome aspera","RMNH.CRUS.D.26724",2
"Pilumnus diomedeae","RMNH.CRUS.D.26816",1
"Ebalia abdominalis","RMNH.CRUS.D.26848",1
"Cherax albertisii","RMNH.CRUS.D.27129",6
"Nephrops norvegicus","RMNH.CRUS.D.27142",1
"Inachus biceps","RMNH.CRUS.D.27164",3
"Eriocheir sinensis","RMNH.CRUS.D.27189",1
"Nephrops norvegicus","RMNH.CRUS.D.27360",1
"Atelecyclus undecimdentatus","RMNH.CRUS.D.27486",1
"Corystes cassivelaunus","RMNH.CRUS.D.27576",3
"Corystes cassivelaunus","RMNH.CRUS.D.27584",7
"Callianassa bouvieri","RMNH.CRUS.D.27621",8
"Pinnotheres pisum","RMNH.CRUS.D.27660",1
"Carcinus maenas","RMNH.CRUS.D.28042",4
"Carcinus maenas","RMNH.CRUS.D.28046",3
"Carcinus maenas","RMNH.CRUS.D.28047",1
"Crangon crangon","RMNH.CRUS.D.28105",3
"Crangon crangon","RMNH.CRUS.D.28106",1
"Upogebia pusilla","RMNH.CRUS.D.28189",1
"Pandalina brevirostris","RMNH.CRUS.D.28249",1
"Eriocheir sinensis","RMNH.CRUS.D.2825",2
"Pandalina brevirostris","RMNH.CRUS.D.28250",1
"Thia scutellata","RMNH.CRUS.D.28625",1
"Dromia personata","RMNH.CRUS.D.28652",25
"Pagurus cuanensis","RMNH.CRUS.D.28774",4
"Pagurus cuanensis","RMNH.CRUS.D.28775",3
"Crangon crangon","RMNH.CRUS.D.2882",50
"Diogenes avarus","RMNH.CRUS.D.28852",1
"Diogenes avarus","RMNH.CRUS.D.28855",4
"Palaemon serratus","RMNH.CRUS.D.28973",20
"Nyctiphanes couchi","RMNH.CRUS.D.29069",0
"Nyctiphanes couchi","RMNH.CRUS.D.29071",0
"Nyctiphanes couchi","RMNH.CRUS.D.29074",0
"Lithodes maja","RMNH.CRUS.D.29285",3
"Pirimela denticulata","RMNH.CRUS.D.29460",1
"Pagurus ochotensis","RMNH.CRUS.D.29549",1
"Pagurus trigonocheirus","RMNH.CRUS.D.29583",6
"Pagurus dalli","RMNH.CRUS.D.29590",2
"Pagurus hirtimanus","RMNH.CRUS.D.2960",1
"Eriocheir sinensis","RMNH.CRUS.D.29622",1
"Pinnotheres pisum","RMNH.CRUS.D.29718",1
"Pinnotheres pisum","RMNH.CRUS.D.29720",3
"Pagurus pubescens","RMNH.CRUS.D.29762",3
"Pagurus berhnardus","RMNH.CRUS.D.29769",2
"Pagurus bernhardus","RMNH.CRUS.D.29769",2
"Spirontocaris lamellicornis","RMNH.CRUS.D.29820",5
"Spirontocaris lamellicornis","RMNH.CRUS.D.29821",1
"Procambarus niveus","RMNH.CRUS.D.29851",6
"Procambarus atkinsoni","RMNH.CRUS.D.29860",1
"Upogebia kempi","RMNH.CRUS.D.29947",1
"Atyaephyra desmarestii","RMNH.CRUS.D.30432",1
"Procambarus niveus","RMNH.CRUS.D.30947",1
"Dromia marmorea","RMNH.CRUS.D.32141",1
"Callinectes bocourti","RMNH.CRUS.D.3262",1
"Ebalia cranchii","RMNH.CRUS.D.32976",1
"Ebalia cranchii","RMNH.CRUS.D.33007",12
"Ebalia cranchii","RMNH.CRUS.D.33010",1
"Ebalia cranchii","RMNH.CRUS.D.33015",2
"Pontophilus fasciatus","RMNH.CRUS.D.33117",1
"Upogebia pugettensis","RMNH.CRUS.D.33126",1
"Nephrops norvegicus","RMNH.CRUS.D.33282",8
"Liocarcinus puber","RMNH.CRUS.D.33287",1
"NA NA","RMNH.CRUS.D.33287",1
"Carcinus maenas","RMNH.CRUS.D.33308",16
"Nyctiphanes simplex","RMNH.CRUS.D.33774",1
"Nyctiphanes capensis","RMNH.CRUS.D.33775",14
"Meganyctiphanes norvegica","RMNH.CRUS.D.33779",0
"Meganyctiphanes norvegica","RMNH.CRUS.D.33780",0
"Meganyctiphanes norvegica","RMNH.CRUS.D.33786",0
"Meganyctiphanes norvegica","RMNH.CRUS.D.33791",100
"Meganyctiphanes norvegica","RMNH.CRUS.D.33792",30
"Galathea squamifera","RMNH.CRUS.D.34023",30
"Processa edulis","RMNH.CRUS.D.34136",20
"Eualus occultus","RMNH.CRUS.D.34152",50
"Eualus occultus","RMNH.CRUS.D.34161",3
"Palaemon elegans","RMNH.CRUS.D.3419",1
"Atyaephyra desmarestii","RMNH.CRUS.D.34210",50
"Atyaephyra desmarestii","RMNH.CRUS.D.34217",40
"Athanas nitescens","RMNH.CRUS.D.34224",30
"Athanas nitescens","RMNH.CRUS.D.34229",1
"Athanas nitescens","RMNH.CRUS.D.34252",50
"Athanas nitescens","RMNH.CRUS.D.34254",60
"Hippolyte inermis","RMNH.CRUS.D.34268",50
"Hippolyte varians","RMNH.CRUS.D.34272",100
"Hippolyte inermis","RMNH.CRUS.D.34299",8
"Hippolyte inermis","RMNH.CRUS.D.34305",40
"Hippolyte inermis","RMNH.CRUS.D.34310",1
"Hippolyte inermis","RMNH.CRUS.D.34341",0
"Hippolyte varians","RMNH.CRUS.D.34361",2
"Hippolyte longirostris","RMNH.CRUS.D.34369",3
"Pontophilus trispinosus","RMNH.CRUS.D.34402",5
"Pontophilus trispinosus","RMNH.CRUS.D.34404",1
"Pontophilus trispinosus","RMNH.CRUS.D.34412",35
"Palaemon squilla","RMNH.CRUS.D.3442",15
