synonym_id,species_id,synonym_name,identification_reference
120,1213,Suctobelba grandis,"Willmann, 1933"
121,1221,Alloxysta defecta,"Hartig, 1841"
122,1246,Atheta cambrica,"Wollaston, 1855"
123,1247,Atheta currax,"Kraatz, 1856"
124,1268,Acroperus elongatus,"Sars, 1862"
125,1278,Alopochen aegyptiacus,"Linnaeus, 1766"
126,1294,Altica pusilla,"Duftschmid, 1825"
127,1297,Altica oleracea,"Mohr, 1958"
128,1299,Altica quercetorum,"Weise, 1888"
129,1367,Bowerbankia citrina,"Hincks, 1877"
130,1368,Bowerbankia gracilis,"Leidy, 1855"
131,1369,Bowerbankia imbricata,"Adams, 1798"
132,1375,Amauromyza exigua,"Meigen, 1830"
133,1378,Amauromyza hendeli,"De Meijere, 1924"
134,1392,Gabucinia psittaci,"Fain & Vercammen-Grandjean, 1966"
135,1400,Gamasus dentipes,"Koch, 1839"
136,1406,Raja radiata,"Donovan, 1808"
137,1407,Amblyseiopsis potentillae,"Garman, 1958"
138,1407,Amblyseius garui,"Gupta, 1969"
139,1407,Amblyseius potentillae,"Garman, 1958"
140,1407,Amblyseius reflexus,"Denmark & Knisley, 1978"
141,1407,Typhlodromus andersoni,"Chant, 1957"
142,1407,Typhlodromus brittanicus,"Chant, 1959"
143,1409,Amblyseius deleoni,"Muma & Denmark, 1970"
144,1409,Amblyseius giganticus,"Gupta, 1981"
145,1409,Amblyseius impactus,"Chaudri, 1968"
146,1409,Amblyseius thermophilus,"Karg, 1991"
147,1409,Typhlodromus amitae,"Bhattacharyya, 1968"
148,1409,Typhlodromus herbicolus,"Chant, 1959"
149,1411,Amblyseius major,"Kolodochka, 1979"
150,1411,Typhlodromips maior,"Karg, 1970"
151,1411,Typhlodromus masseei,"Nesbitt, 1951"
152,1412,Amblyseis spiramentatus,"Athias-Henriot, 1961"
153,1412,Typhlodromus calicis,"Karg, 1960"
154,1413,Typhlodromus intermedius,"Bernhard, 1963"
155,1414,Amblyseius bajulus,"Chaudhri, Akbar & Rasool, 1979"
156,1414,Amblyseius hamizensis,"Athias-Henriot, 1961"
157,1414,Amblyseius kurashvilli,"Gomelauri, 1968"
158,1414,Amblyseius microsetae,"Muma, 1961"
159,1414,Amblyseius rhabdus,"Denmark, 1965"
160,1414,Typhlodromus affatisetus,"Wainstein, 1960"
161,1414,Zercon obtusus,"Koch, 1839"
162,1415,Typhlodromus pinicolus,"Karg, 1991"
163,1416,Amblyseius khnzoriani,"Wainstein & Arutunjan, 1970"
164,1426,Scutovertex pseudomaculatus,"Hull, 1914"
165,1427,Ameronothrus bilineatus,"Hull, 1916"
166,1427,Scutovertex spoofi,"Oudemans, 1900"
167,1428,Ameronothrus lineatus,"Willmann, 1937"
168,1428,Ameronothrus lineatus,"Koch, 1879"
169,1430,Acarus corbicula,"Sowerby, 1806"
170,1430,Ameroseius crassisetosus,"Ye & Ma, 1993"
171,1430,Ameroseius norvegicus,"Narita, Abduch & Moraes, 2015"
172,1430,Ameroseius qinghaiensis,"Li & Yang, 2000"
173,1430,Cornubia ornata,"Turk, 1943"
174,1430,Seius echinatus,"Koch, 1839"
175,1430,Seius hirsutus,"Berlese, 1887"
176,1431,Amerus troisi,"Berlese, 1883"
177,1431,Amerus troisii,"Selnick, 1928"
178,1452,Amischa cavifrons,"Sharp, 1869"
179,1452,Amischa vogti,"Benick, 1967"
180,1497,Balanus amphitrite,"Darwin, 1851"
181,1498,Balanus eburneus,"Gould, 1841"
182,1499,Balanus improvisus,"Darwin, 1854"
183,1505,Pectinaria auricoma,"Müller, 1776"
184,1511,Amphigerontia pearmani,"Roesler, 1943"
185,1532,Sertularia operculata,"Linnaeus, 1758"
186,1549,Phacopteryx brevipennis,"Curtis, 1834"
187,1551,Anabremia longiventris,"De Meijere, 1939"
188,1571,Tetramesa graminicola,"Giraud, 1863"
189,1573,Tetramesa poicola,"Hedicke, 1921"
190,1586,Acarus chelopus,"Hermann, 1804"
191,1586,Dermaleichus passerinus,"Koch, 1841"
192,1589,Dermaleichus mucronatus,"Buchholz, 1869"
193,1591,Acarus avicularum,"De Geer, 1778"
194,1591,Acarus passerinus,"Linnaeus, 1758"
195,1595,Phlyctaenia coronata,"Hufnagel, 1767"
196,1596,Ebulea crocealis,"Hübner, 1796"
197,1598,Opsibotys fuscalis,"Denis & Schiffermüller, 1775"
198,1599,Eurrhypara hortulata,"Linnaeus, 1758"
199,1600,Perinephela lancealis,"Denis & Schiffermüller, 1775"
200,1601,Phlyctaenia perlucidalis,"Hübner, 1809"
201,1602,Phlyctaenia stachydalis,"Germar, 1821"
202,1603,Algedonia terrealis,"Treitschke, 1829"
203,1610,Anapausis tenuicauda,"Duda, 1928"
204,1612,Anagrus diversicornis,"Soyka, 1956"
205,1612,Anagrus valkenburgensis,"Soyka, 1955"
206,1615,Anagrus latipennis,"Soyka, 1956"
207,1620,Anagrus parvus,"Soyka, 1956"
208,1643,Anaphes capitulata,"Soyka, 1949"
209,1643,Anaphes filicornis,"Soyka, 1949"
210,1643,Anaphes maculata,"Soyka, 1949"
211,1665,Charadrius alexandrinus,"Linnaeus, 1758"
212,1666,Charadrius asiaticus,"Pallas, 1773"
213,1667,Charadrius leschenaultii,"Lesson, 1826"
214,1667,Charadrius leschenaultii,"Severtsov, 1873"
215,1671,Hadula trifolii,"Hufnagel, 1766"
216,1677,Spatula clypeata,"Linnaeus, 1758"
217,1685,Mareca penelope,"Linnaeus, 1758"
218,1688,Spatula querquedula,"Linnaeus, 1758"
219,1702,Anaspis humeralis,"Fabricius, 1775"
220,1714,Corymbia sanguinolenta,"Linnaeus, 1760"
221,1732,Hemianax ephippiger,"Burmeister, 1839"
222,1739,Taeniacanthus lucipetus,"Holmes, 1985"
223,1754,Ancistronycha cyanipennis,"Faldermann, 1835"
224,1783,Andrena batava,"Pérez, 1902"
225,1786,Andrena gwynana,"Kirby, 1802"
226,1787,Andrena bluethgeni,"Stöckhert, 1930"
227,1787,Andrena morawitzi,"Thomson, 1872"
228,1800,Andrena obsoleta,"Warncke, 1967"
229,1801,Andrena propinqua,"Schenck, 1853"
230,1807,Andrena armata,"Gmelin, 1790"
231,1825,Andrena anthrisci,"Blüthgen, 1925"
232,1834,Andrena albofasciata,"Thomson, 1870"
233,1836,Andrena nigrospina,"Thomson, 1872"
234,1841,Andrena eximia,"Smith, 1847"
235,1845,Andrena jacobi,"Perkins, 1921"
236,1845,Andrena sabulosa,"Scopoli, 1763"
237,1846,Andrena saundersella,"Perkins, 1914"
238,1847,Andrena ocreata,"Christ, 1791"
239,1848,Andrena bremensis,"Alfken, 1900"
240,1855,Andrena carantonica,"Perez, 1902"
241,1855,Andrena spinigera,"Kirby, 1802"
242,1892,Iphis casalis,"Berlese, 1887"
243,1893,Atricholaelaps sigmodoni,"Strandtmann, 1946"
244,1893,Haemolaelaps scalopi,"Keegan, 1946"
245,1893,Laelaps californicus,"Ewing, 1925"
246,1893,Laelaps fahrenholzi,"Berlese, 1911"
247,1893,Laelaps glasgowi,"Ewing, 1925"
248,1893,Laelaps stegemani,"Hefley, 1935"
249,1893,Laelaps virginianus,"Ewing, 1925"
250,1893,Liponyssus setiger,"Ewing, 1920"
251,1894,Haemolaelaps fenilis,"Mégnin, 1876"
252,1894,Haemolaelaps mohrae,"Oudemans, 1928"
253,1894,Haemolaelaps molestus,"Oudemans, 1929"
254,1894,Haemolaelaps oculatus,"Oudemans, 1915"
255,1895,Hypoaspis hermaphrodita,"Berlese, 1887"
256,1895,Laelaps hermaphrodita,"Berlese, 1887"
257,1910,Anevrina claripennis,"Becker, 1901"
258,1911,Anevrina fennica,"Becker, 1901"
259,1914,Angiometopa ruralis,"Fallén, 1817"
260,1920,Anguillicola crassus,"Kuwahara, Niimi & Itagaki, 1974"
261,1933,Anisobas quadrialbatus,"Constantineanu, 1951"
262,1957,Anobium nitidum,"Fabricius, 1792"
263,1968,Anoetus discrepans,"Oudemans, 1903"
264,1968,Hypopus alicola,"Dujardin, 1842"
265,1969,Anogcodes ustulatus,"Fabricius, 1787"
266,1974,Euchlora cuprea,"Hope, 1839"
267,1976,Anomalocera patersonii,"Templeton, 1837"
268,1982,Anomoia antica,"Wiedemann, 1830"
269,1982,Anomoia permunda,"Harris, 1782"
270,1990,Anopheles bifurcatus,"Meigen, 1818"
271,1994,Anopheles nigripes,"Staeger, 1839"
272,1995,Eriococcus danzigae,"Miller & Gimpel, 1996"
273,1996,Acanthococcus inermis,"Green, 1915"
274,1996,Eriococcus inermis,"Green, 1915"
275,1997,Acanthococcus insignis,"Newstead, 1891"
276,1997,Eriococcus insignis,"Newstead, 1891"
277,1998,Atheta corvina,"Thomson, 1856"
278,2022,Perigrapha munda,"Denis & Schiffermüller, 1775"
279,2047,Chen canagica,"Sevastianov, 1802"
280,2052,Anser anser,"Severtsov, 1873"
281,2061,Antennoseius magniscutum,"Weis-Fogh, 1947"
282,2061,Antennoseius rarus,"Pinchuk, 1972"
283,2061,Vitzthumia magniscutum,"Weis-Fogh, 1947"
284,2085,Anthaxia sepulcharis,"Fabricius, 1801"
285,2086,Antherophagus nigricornis,"Fabricius, 1787"
286,2087,Antherophagus canescens,"Grouvelle, 1916"
287,2093,Cordicomus sellatus,"Panzer, 1796"
288,2094,Anthidium strigatum,"Panzer, 1805"
289,2102,Lathrimaeum unicolor,"Marsham, 1802"
290,2104,Anthocomus bipunctatus,"Harrer, 1784"
291,2106,Anthocomus coccineus,"Schaller, 1783"
